video_id,comment_id,author,text,like_count,published_at
kIZAw7gYQhw,UgzbltOQAOGGmFHap5h4AaABAg,HikakinTV,マジでうまそうやろ🍜,2813,2023-11-05T09:01:21Z
higkbFOl5RA,Ugwda77q303KSoydKK54AaABAg,すなおです,右の子めっちゃかわいいタイプだわ,0,2023-11-06T13:58:43Z
uWZ7nTKNAeM,UgwFqdKB7AnC_c8dl-94AaABAg,HikakinTV,👍グッドボタンおしてね👍,3240,2023-10-22T11:51:42Z
Kj5qw7t7E8c,UgzpsUsCcGCXsT4mhmx4AaABAg,HikakinTV,👍グッドボタンおしてね👍,5811,2023-10-15T09:29:54Z
7PwiABxmOyM,UgxJsjxOZu8AMgYQORl4AaABAg,HikakinTV,GBBでRofuを応援しよう！😎👍🎤,7374,2023-10-13T09:15:12Z
5SUVOIelSBA,UgzL1jRrm7g03fcNENV4AaABAg,HikakinTV,脚立の1番上に乗るのは危険だそうです。みなさん真似しないでください。,5026,2023-10-08T11:54:44Z
hZndMcOQV5M,UgySQ6ci6cK-rMS-L-B4AaABAg,HikakinTV,👍グッドボタンおしてね👍,3881,2023-10-03T11:27:25Z
b7kWQkGByqU,UgxBYDKnF6hfqTL6YO94AaABAg,HikakinTV,👍グッドボタンおしてね👍,2882,2023-09-29T02:35:41Z
fyZRSb7t7cA,UgwsvA8nb9Q4z4t7MJB4AaABAg,HikakinTV,グッドボタンおしてね👍🍺,3020,2023-09-28T09:15:16Z
n0hxEfOn7SA,UgyKuVCEEkCNr41O9RZ4AaABAg,HikakinTV,👍グッドボタンおしてね👍,4813,2023-09-23T12:35:23Z
0msPCoU0GY8,UgwaOZ1XXEFdR7L28Bx4AaABAg,Amit Bhadana,Hit like and share for SSC SIR ♥️,17431,2023-10-28T08:07:37Z
d3O2cnQHItg,UgxRZeJ-gB6t1wfbuSx4AaABAg,Amit Bhadana,Comment karke bataye Episode 03 kaisa laga? ♥️,8295,2023-10-23T13:52:06Z
OKzvVmX7naI,UgxB6JWoDSBjWh7VZ154AaABAg,Amit Bhadana,&quot;Safalta ke Sau rishtedar hote hai aur Asafalta ke Sau Dushman&quot; 🥹,13484,2023-10-17T08:00:43Z
AlAJ3Ykst7E,UgzkXlnRdq08S36wTod4AaABAg,Amit Bhadana,&quot; Yeh time yaari ka nahi taiyyari ka hai&quot; ♥️💪🏽,27469,2023-10-12T08:01:39Z
BwBY_2w1Ygo,UgwDI6BioM9NYXjSaul4AaABAg,Amit Bhadana,&quot;Kar jaayenge ya ghar jaayenge&quot;<br>Kaisa laga aap sabhi ko trailer? ♥️,13809,2023-10-06T10:40:05Z
cE0ZbRKWK8c,UgwRcR3u1RcA35rlRlR4AaABAg,Dharmveer Gurjar,❤❤❤❤❤❤❤❤❤❤,0,2023-11-04T01:02:13Z
Mhkb8EbZaf0,UgygVvYWH-rcHqQc5px4AaABAg,Arjun Saini,❤❤❤❤❤,0,2023-11-05T11:34:51Z
XS0ANHZQbOg,Ugx5_T7cPKEisGUUAeB4AaABAg,nitesh chauhan,Mja aa gya 😂😂😂😂,0,2023-11-04T19:08:04Z
8KxhPvDw97U,Ugxnnw7RSwS27zMxHhF4AaABAg,Glows_Classes,"29.13 this time is very serious to all Over world parent&#39;s, कभी किसी से अपनी तुलना मत करो क्यों की आप अपने लिए full perfect💯 हो",0,2023-11-06T15:08:16Z
45n4vHs1hww,UgynkOqMzRSne_1GugB4AaABAg,Suraj tells,Suspense into 💯 Ho Gaya<br>Maja Aa Gaya,0,2023-11-03T04:12:26Z
UrIaQbIK2E4,UgylbGgk5syUK_lOezx4AaABAg,BB Ki Vines,"Cheeni waali mummy !!! 🤣🤣🤣<br><br>Comment your favourite dialogue. Don&#39;t forget to LIKE the video! <br>Keep Sharing, Keep Loving! ❤",35214,2023-05-07T07:49:27Z
Nwh6CQ50h0g,UgxV1-g2lvC6-GpZIMt4AaABAg,BB Ki Vines,"Mere birthday ka gift aap sabke liye! :) Isko 2M likes pe le jaaye? 😍<br>Taaza Khabar is now streaming on Disney+ Hotstar !!!<br><br>Keep Sharing, Keep Loving! ❤",17708,2023-01-21T13:19:58Z
HbTON0nb4DU,Ugzp_O6XRGEhPFsqUiV4AaABAg,BB Ki Vines,"Meri koi backing nahi hai, lekin passion mein bhi lacking nahi hai..🥹💪🏼<br><br>Keep Sharing, Keep Loving! ♥️",66167,2023-01-03T12:39:23Z
zm6xa3ggt5A,Ugyjd1xWOkL82Cs9Y3l4AaABAg,BB Ki Vines,"Aapka support chaahiye! Need a Like and Comment from each one of you so that this trailer reaches more people♥️<br><br>Taaza Khabar, my debut OTT showing streaming 6th January, 2023 on Disney+ Hotstar! ❤️‍🔥",19137,2022-12-13T06:38:19Z
