video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
kIZAw7gYQhw,HikakinTV,超うまいラーメンの作り方,"プロモーション：日本ハム株式会社

シャウエッセンブランドサイトはこちら
https://www.nipponham.co.jp/seq/

#シャウエッセン #うちシャウ #Shorts #ラーメン 

◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', '動画', 'レビュー', 'ラーメン', 'らーめん', 'アレンジ', 'ramen', 'シャウエッセン', '日本ハム']",2023-11-05T09:00:09Z,674843,31761,0,1558,PT55S,hd,false
higkbFOl5RA,HikakinTV,ポーズ被るかチャレンジ!!【兎田ぺこら & ヒカキン】#兎田ぺこら #ヒカキン,"プロモーション：湖池屋ストロング
湖池屋ストロング　ガチ濃厚ピザは2023年3月6日発売以降、累計500万袋を出荷。
発売初月では湖池屋ストロングの新商品として過去最高実績を達成。

#湖池屋ストロング

◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin

#shorts 
#兎田ぺこら
#vtuber","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', 'おもちゃ', 'オモチャ', '玩具', '動画', 'ビートボックス', 'Beatbox', 'ボイパ', 'ヒューマンビートボックス', 'ボイスパーカッション', 'レビュー', '兎田ぺこら', 'vtuber', 'ホロ', 'ホロライブ', 'ポテト', '湖池屋', 'ストロング']",2023-10-23T10:00:34Z,2838774,99535,0,2599,PT1M,hd,false
uWZ7nTKNAeM,HikakinTV,生地からこだわり手作りピザを20億円ハウスの庭の石窯で焼いてみた！【本気のマルゲリータ】,"参考にさせていただいた動画
フライパンとグリルで作る、ふわふわもちもち「ナポリピッツァ」｜ピッツェリア ブラチェリア チェザリ　牧島シェフ
https://youtu.be/GqkoKbYuUm8?si=MSOI5AFD_tmQMaqz

◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin

#ピザ
#マルゲリータ
#作り方","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', 'おもちゃ', 'オモチャ', '玩具', '動画', 'ビートボックス', 'Beatbox', 'ボイパ', 'ヒューマンビートボックス', 'ボイスパーカッション', 'レビュー', 'ピザ', 'ピッツァ', 'イタリア', 'マルゲリータ', 'ドミノピザ', 'レシピ', '作り方', '簡単', '本格', 'こだわり', 'もちもち']",2023-10-22T12:15:17Z,1673283,34734,0,2652,PT38M34S,hd,false
Kj5qw7t7E8c,HikakinTV,運命の日,"◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', 'おもちゃ', 'オモチャ', '玩具', '動画', 'ビートボックス', 'Beatbox', 'ボイパ', 'ヒューマンビートボックス', 'ボイスパーカッション', 'レビュー']",2023-10-15T11:00:17Z,2069009,58555,0,3741,PT20M16S,hd,false
7PwiABxmOyM,HikakinTV,Beatbox Game - Hikakin vs Daichi vs Rofu【in HIKAKIN HOUSE】,"@daichibeatboxer @RofuBeatbox 

▼Rofuの動画
https://youtu.be/hgTqJbfViOU?si=NzkWO3u4RJnb1VXj

◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin

#beatbox 
#hikakin 
#daichi 
#rofu","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', 'おもちゃ', 'オモチャ', '玩具', '動画', 'ビートボックス', 'Beatbox', 'ボイパ', 'ヒューマンビートボックス', 'ボイスパーカッション', 'レビュー', 'rofu', 'fuga', 'hiro', 'japan', '2023', 'daichi', 'ダイチ', 'バトル', 'beatbox game', 'Grand Beatbox Battle']",2023-10-13T10:00:10Z,1457034,44658,0,2392,PT24M17S,hd,false
5SUVOIelSBA,HikakinTV,【緊急事態】骨折中に最悪な大事件が起こってしまいました…,"※脚立の1番上に乗るのは危険だそうです。みなさん真似しないでください。

◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', 'おもちゃ', 'オモチャ', '玩具', '動画', 'ビートボックス', 'Beatbox', 'ボイパ', 'ヒューマンビートボックス', 'ボイスパーカッション', 'レビュー', 'カメムシ', '虫', '大量発生', '2023', '秋']",2023-10-08T11:15:14Z,2351841,48336,0,3489,PT14M20S,hd,false
hZndMcOQV5M,HikakinTV,【数千万円】20億円新居に????万円分の高級家具購入してヤバいことに!!!,"◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin

#新居
#家具 
#ヒカキン","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', 'おもちゃ', 'オモチャ', '玩具', '動画', 'ビートボックス', 'Beatbox', 'ボイパ', 'ヒューマンビートボックス', 'ボイスパーカッション', 'レビュー', '家具', '新居', 'カッシーナ', '高級', '高級家具']",2023-10-03T12:00:18Z,2889433,55796,0,3358,PT36M32S,hd,false
b7kWQkGByqU,HikakinTV,"【お見舞い】骨折中に20億円新居に初めて""あの方""が来てくれた…【感動】","この動画は株式会社Mizkanとのタイアップです。
「カンタン酢」は（株）Mizkan Holdingsの商標です。

カンタン酢ブランドサイトはこちら！
https://bit.ly/3yWCH15

「カンタン酢」をお求めの方はこちら！
・Amazon　https://amzn.to/3S45XdT
・楽天　https://bit.ly/3yXPobI
・LOHACO　https://bit.ly/40a01V4
・ヨドバシ　https://bit.ly/3JOceYl
・ミツカン公式通販　https://bit.ly/3UI9AIW

◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin

#ヒカキン
#新居
#骨折","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', 'おもちゃ', 'オモチャ', '玩具', '動画', 'ビートボックス', 'Beatbox', 'ボイパ', 'ヒューマンビートボックス', 'ボイスパーカッション', 'レビュー', '新居', '20億', '家', '骨折', '怪我', 'お見舞い', 'マンション', 'ゲスト', 'コラボ', '料理', 'リハビリ', 'クッキング', '酢', 'お酢', 'ミツカン', 'かんたん酢', 'ミツカン酢', 'レシピ', 'カンタン酢', '肉', '肉料理']",2023-09-29T10:00:16Z,3064168,53288,0,3421,PT54M7S,hd,false
fyZRSb7t7cA,HikakinTV,謎の箱が届いた！,"プロモーション：アサヒビール株式会社
#スーパードライ

◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin

#shorts 
#謎の箱
#ヒカキン","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '動画', '謎の箱', 'ダンボール', 'フランス', 'ビール', 'アサヒスーパードライ', 'beer', '開封', '箱']",2023-09-28T09:14:25Z,1524273,45765,0,888,PT1M,hd,false
n0hxEfOn7SA,HikakinTV,【悲報】骨折中に25万のiPhone15 Pro Max 水没か…【開封レビュー】【iPhone 15 Pro Max】【ヒカキンTV】,"▼おすすめガラスフィルム『NIMASO』
・iPhone15用
https://amzn.to/3EP0til

・iPhone15Pro用
https://amzn.to/48uctUi

・iPhone Pro Max用
https://amzn.to/3rrBUVO

▼おすすめシリコンンケース
・iPhone15用
https://www.apple.com/jp/shop/product/MT0X3FE/A/magsafe%E5%AF%BE%E5%BF%9Ciphone-15%E3%82%B7%E3%83%AA%E3%82%B3%E3%83%BC%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%B5%E3%82%A4%E3%83%97%E3%83%AC%E3%82%B9?fnode=e361902a47f6d98d54b2fa1b7aec973da373bf50d276dc7075699690e77541e8680bb9876ec8c1ba22cac8b8da2b95f52a8e6793c63b9d665316907204314f2b3706ef33ae80ca9bacc8840560a33fd310d58e2213e47c399cdb2ab5ba23fb60375854281c17d504b7526690ea74f547


・iPhone15 Pro用
https://www.apple.com/jp/shop/product/MT1F3FE/A/magsafe%E5%AF%BE%E5%BF%9Ciphone-15-pro%E3%82%B7%E3%83%AA%E3%82%B3%E3%83%BC%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%83%A9%E3%82%A4%E3%83%88%E3%83%94%E3%83%B3%E3%82%AF?fnode=76f36e5d7a82c7f39c537c1e84940f666e43d23bd77080ae2698c1610526c6bd29e2f4cb50acc4724d822dc363ebb26455874270a985437674dabca5d39cee7124233145fc8397ca1c1df23c8b2cd6c497bf12c9efc25bc8e5b9e47219cd8572

・iPhone15 Pro Max用
https://www.apple.com/jp/shop/product/MT1X3FE/A/magsafe%E5%AF%BE%E5%BF%9Ciphone-15-pro-max%E3%82%B7%E3%83%AA%E3%82%B3%E3%83%BC%E3%83%B3%E3%82%B1%E3%83%BC%E3%82%B9-%E3%82%B5%E3%82%A4%E3%83%97%E3%83%AC%E3%82%B9?fnode=e361902a47f6d98d54b2fa1b7aec973da373bf50d276dc7075699690e77541e8680bb9876ec8c1ba22cac8b8da2b95f52a8e6793c63b9d665316907204314f2b3706ef33ae80ca9bacc8840560a33fd310d58e2213e47c399cdb2ab5ba23fb60375854281c17d504b7526690ea74f547

◆チャンネル登録はこちら↓
http://www.youtube.com/user/hikakintv?sub_confirmation=1

◆ツイッター
https://twitter.com/hikakin

◆インスタグラム
https://instagram.com/hikakin/

◆TikTok
https://vt.tiktok.com/BTWxUN/

◆ヒカキンゲームズ
http://www.youtube.com/hikakingames

◆ビートボックス動画のHIKAKINチャンネル
http://www.youtube.com/HIKAKIN

◆ラフな動画のHikakinBlog
http://www.youtube.com/hikakinblog


◆ヒカキンLINEスタンプはこちら
https://store.line.me/stickershop/product/1022677/ja


◆ヒカキンLINE公式アカウント
●友達登録はこちら↓
http://line.naver.jp/ti/p/%40hikakin

#iphone15 
#iphone15pro 
#iPhone15promax","['ヒカキン', 'ヒカキンtv', 'hikakintv', 'hikakin', 'ひかきん', 'ひかきんtv', 'ユーチューバー', 'YouTube', 'YouTuber', '商品紹介', 'おもちゃ', 'オモチャ', '玩具', '動画', 'ビートボックス', 'Beatbox', 'ボイパ', 'ヒューマンビートボックス', 'ボイスパーカッション', 'レビュー', 'iphone', 'apple', 'アイフォン', '15', 'iPhone15', 'iPhone15pro', 'pro', 'max', 'iphone15promax', 'カメラ', '性能', '機能', 'アクションボタン', 'チタン', '色', 'カラー', '違い', '14', '比較', '14pro', '高額ズーム']",2023-09-23T13:00:16Z,2572922,54404,0,4006,PT26M6S,hd,false
