,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
0,6lw4Cbk1IzA,BLACKPINK,BLACKPINK - ‘B.P.M.’ Last Roll,#BLACKPINK #블랙핑크 #BPM #BORN_PINK_MEMORIES #Last_Roll #WORLD_TOUR #SEOUL #FINALE #YOUTUBE #YG,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'BLACKPINK', '블랙핑크', '블핑', '제니', '로제', '리사', '지수', 'LISA', 'JISOO', 'JENNIE', 'ROSÉ', 'BLINK', '블링크', 'JENNIE You & Me', 'JENNIE You and ME', 'You & Me', 'You and Me', '제니 You & Me', '제니 You and Me', '제니 유앤미', '유앤미', 'JENNIE 유앤미', '제니 코첼라', 'JENNIE COACHELLA']",2023-10-20T09:00:04Z,2084404,243551,,15081,PT14M34S,hd,true
1,Yl_rmlS4u9s,BLACKPINK,BLACKPINK - ‘B.P.M.’ Roll #33,#BLACKPINK #블랙핑크 #BPM #BORN_PINK_MEMORIES #Roll_33 #WORLD_TOUR #SANFRANCISCO #LOSANGELES #ENCORE #YOUTUBE #YG,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'BLACKPINK', '블랙핑크', '블핑', '제니', '로제', '리사', '지수', 'LISA', 'JISOO', 'JENNIE', 'ROSÉ', 'BLINK', '블링크', 'JENNIE You & Me', 'JENNIE You and ME', 'You & Me', 'You and Me', '제니 You & Me', '제니 You and Me', '제니 유앤미', '유앤미', 'JENNIE 유앤미', '제니 코첼라', 'JENNIE COACHELLA']",2023-10-13T09:00:21Z,1370945,137198,,4478,PT13M6S,hd,true
2,q9lQG1shW6o,BLACKPINK,JENNIE - 'You & Me' Behind The Scenes,#JENNIE #제니 #BLACKPINK #블랙핑크 #SpecialSingle #YouandMe #Behind_The_Scenes #YG,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'BLACKPINK', '블랙핑크', '블핑', '제니', '로제', '리사', '지수', 'LISA', 'JISOO', 'JENNIE', 'ROSÉ', 'BLINK', '블링크', 'JENNIE You & Me', 'JENNIE You and ME', 'You & Me', 'You and Me', '제니 You & Me', '제니 You and Me', '제니 유앤미', '유앤미', 'JENNIE 유앤미', '제니 코첼라', 'JENNIE COACHELLA']",2023-10-13T04:00:36Z,1781271,199242,,5396,PT2M44S,hd,true
3,OCxrWKk-Jbw,BLACKPINK,JENNIE - ‘You & Me (Jazz ver.)’ LIVE CLIP HIGHLIGHT CLIP,#JENNIE #제니 #BLACKPINK #블랙핑크 #SpecialSingle #YouandMe #Jazz_ver #LIVE_CLIP #HIGHLIGHTCLIP #YG,,2023-10-11T04:30:46Z,5663431,598920,,7872,PT15S,hd,false
4,ZgLlabyz7oY,BLACKPINK,JENNIE - ‘You & Me (Jazz ver.)’ LIVE CLIP,"작사 : TEDDY
작곡 : TEDDY, 24, Vince
편곡 : Nohc

드럼 : 김영진 
베이스 : 김대호
기타 : 하범석
피아노 : 전용준

You & Me Jazz ver.

You know I gotcha
You know that I got you like that
Ain’t nobody gonna have your back
like the way I do
You love it just say you do

You know you got me
Everything you do
Everything you did
Everything I wish I was with
Makes me feel alright
I’m just saying so

I really like it 
Nothing in the world can make me feel the way you do the things you do
I really like it 
Nothing in the world can make me feel the way you do the things you do

I love you and me
Dancing in the moonlight 
Nobody can see
It’s just you and me tonight
I love you and me
Dancing in the moonlight 
Nobody can see
It’s just you and me tonight

Look at you now look at me
How you ever ever gonna find someone like this
Look at you now look at me
How you ever ever gonna find someone like this

You’re the reason my heart skips drops
Just a little touch my world stops
Finally I know that you’re mine
I don’t want to fall 
Don’t wanna play this game of love oh eh oh
There’s nowhere to hide
 
I really like it
Nothing in the world can make me feel the way you do the things you do
I really like it
Nothing in the world can make me feel the way you do the things you do

I love you and me
Dancing in the moonlight 
Nobody can see
It’s just you and me tonight
I love you and me
Dancing in the moonlight 
Nobody can see
It’s just you and me tonight

Look at you now look at me
How you ever ever gonna find someone like this
Look at you now look at me
How you ever ever gonna find someone like me

#JENNIE #제니 #BLACKPINK #블랙핑크 #SpecialSingle #YouandMe #Jazz_ver #LIVE_CLIP #YG

Available @ https://BLACKPINK.lnk.to/JENNIE_YouandMe

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.youtube.com/@BLACKPINK
https://www.instagram.com/BLACKPINKOFFICIAL
http://www.facebook.com/BLACKPINKOFFICIAL
https://twitter.com/BLACKPINK","['YG Entertainment', 'YG', '와이지', 'K-pop', 'BLACKPINK', '블랙핑크', '블핑', '제니', '로제', '리사', '지수', 'LISA', 'JISOO', 'JENNIE', 'ROSÉ', 'BLINK', '블링크', 'JENNIE You & Me', 'JENNIE You and ME', 'You & Me', 'You and Me', '제니 You & Me', '제니 You and Me', '제니 유앤미', '유앤미', 'JENNIE 유앤미', '제니 코첼라', 'JENNIE COACHELLA']",2023-10-11T04:00:28Z,6607501,678856,,24739,PT2M31S,hd,false
5,fLfPgF92c-g,BLACKPINK,JENNIE - ‘You & Me’ [BORN PINK] WORLD TOUR STAGE MIX VIDEO HIGHLIGHT CLIP,#JENNIE #제니 #BLACKPINK #블랙핑크 #SpecialSingle #YouandMe #BORNPINK #WORLDTOUR #STAGE_MIX_VIDEO #HIGHLIGHTCLIP #YG,,2023-10-08T04:01:04Z,9736771,957351,,6496,PT24S,hd,false
6,ZSc-zcWl2g8,BLACKPINK,JENNIE - ‘You & Me’ [BORN PINK] WORLD TOUR STAGE MIX VIDEO,#JENNIE #제니 #BLACKPINK #블랙핑크 #SpecialSingle #YouandMe #BORNPINK #WORLDTOUR #STAGE_MIX_VIDEO #YG,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'BLACKPINK', '블랙핑크', '블핑', '제니', '로제', '리사', '지수', 'LISA', 'JISOO', 'JENNIE', 'ROSÉ', 'BLINK', '블링크', 'JENNIE You & Me', 'JENNIE You and ME', 'You & Me', 'You and Me', '제니 You & Me', '제니 You and Me', '제니 유앤미', '유앤미', 'JENNIE 유앤미', '제니 코첼라', 'JENNIE COACHELLA']",2023-10-08T04:00:14Z,5213628,447490,,11330,PT3M6S,hd,false
7,jFJzCODStOQ,BLACKPINK,JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO HIGHLIGHT CLIP,#JENNIE #제니 #BLACKPINK #블랙핑크 #SpecialSingle #YouandMe #DANCE_PERFORMANCE_VIDEO #HIGHLIGHTCLIP #YG,,2023-10-07T04:00:18Z,10115076,1093898,,8646,PT22S,hd,false
8,TIbItS4-4bQ,BLACKPINK,BLACKPINK - ‘B.P.M.’ Roll #32,#BLACKPINK #블랙핑크 #BPM #BORN_PINK_MEMORIES #Roll_32 #WORLD_TOUR #NEWJERSEY #LASVEGAS #ENCORE #YOUTUBE #YG,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'BLACKPINK', '블랙핑크', '블핑', '제니', '로제', '리사', '지수', 'LISA', 'JISOO', 'JENNIE', 'ROSÉ', 'BLINK', '블링크', '지수 꽃', 'JISOO FLOWER', 'FLOWER', 'All Eyes On Me', 'JISOO All Eyes On Me', '지수 All Eyes On Me', 'JISOO ME', 'ME', '지수 FLOWER', 'JISOO 꽃']",2023-10-06T09:00:31Z,1322363,132495,,3446,PT10M17S,hd,true
9,CpbJO2Z6DA4,BLACKPINK,JENNIE - You & Me (Official Audio),"JENNIE - You & Me

You know I gotcha
You know that I got you like that
Ain’t nobody gonna have your back
like the way I do
You love it just say you do

You know you got me
Everything you do
Everything you did
Everything I wish I was with
Makes me feel alright
I’m just saying so

I really like it 
Nothing in the world can make me feel the way you do the things you do
I really like it 
Nothing in the world can make me feel the way you do the things you do

I love you and me
Dancing in the moonlight 
Nobody can see
It’s just you and me tonight
I love you and me
Dancing in the moonlight 
Nobody can see
It’s just you and me tonight

Look at you now look at me
How you ever ever gonna find someone like this
Look at you now look at me
How you ever ever gonna find someone like this

You’re the reason my heart skips drops
Just a little touch my world stops
Finally I know that you’re mine
I don’t want to fall 
Don’t wanna play this game of love oh eh oh
There’s nowhere to hide
 
I really like it
Nothing in the world can make me feel the way you do the things you do
I really like it
Nothing in the world can make me feel the way you do the things you do

I love you and me
Dancing in the moonlight 
Nobody can see
It’s just you and me tonight
I love you and me
Dancing in the moonlight 
Nobody can see
It’s just you and me tonight

Look at you now look at me
How you ever ever gonna find someone like this
Look at you now look at me
How you ever ever gonna find someone like this

I don’t care about your first love, 
This should be your last one
Nothin’ like your last one
You look better on me, that’s fashion
Won’t block your shot, lights camera action
Never been a love me or a love me not thing
Every petal better tell him better not change
I love you I love me a lot, wait 
Which one I love better, better off not saying 

I love you and me

#JENNIE #제니 #BLACKPINK #블랙핑크 #SpecialSingle #YouandMe #Official_Audio #YG

Available @ https://BLACKPINK.lnk.to/JENNIE_YouandMe

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.youtube.com/@BLACKPINK
https://www.instagram.com/BLACKPINKOFFICIAL
http://www.facebook.com/BLACKPINKOFFICIAL
https://twitter.com/BLACKPINK","['YG Entertainment', 'YG', '와이지', 'K-pop', 'BLACKPINK', '블랙핑크', '블핑', '제니', '로제', '리사', '지수', 'LISA', 'JISOO', 'JENNIE', 'ROSÉ', 'BLINK', '블링크', '지수 꽃', 'JISOO FLOWER', 'FLOWER', 'All Eyes On Me', 'JISOO All Eyes On Me', '지수 All Eyes On Me', 'JISOO ME', 'ME', '지수 FLOWER', 'JISOO 꽃']",2023-10-06T07:00:20Z,3937930,327671,,10875,PT3M,hd,false
